# 跨数据集汇总的信号装帧映射表，用于查看每个信号实例被打包到哪个 CANFD 帧。
# 同一 code 在 foundation / baseline1 中可能出现多次，对应新增副本或同源备份。
# baseline2 不新增副本，因此通常每个 code 只有 1 条映射记录。

[signal_frame_mapping]
dataset	scheme	code	message_id	signal_instance_index	signal_instance_count	is_added_copy	frame_id	frame_priority	frame_period_ms	frame_deadline_ms	frame_offset_ms	frame_trans_time_ms	frame_payload_bytes	frame_message_count	signal_period_ms	signal_deadline_ms	asil	level	type	src_ecu	dst_ecu
E12S200_12ecu_200signals_001	foundation	843133465	34	1	1	0	181	71	10	10	0	0.039600000000000003	1	1	10	10	A	0	0	3	4
E12S200_12ecu_200signals_001	foundation	858491120	120	1	1	0	125	50	10	10	1.7280000000021118	0.039600000000000003	1	4	20	20	A	0	0	1	11
E12S200_12ecu_200signals_001	foundation	871191179	40	1	1	0	180	70	10	10	0	0.039600000000000003	1	3	10	10	A	0	0	6	1
E12S200_12ecu_200signals_001	foundation	872246431	107	1	2	0	132	12	5	5	0	0.039600000000000003	1	3	5	5	B	1	0	1	0
E12S200_12ecu_200signals_001	foundation	872246431	107	2	2	1	152	13	5	5	0.5360000000018772	0.039600000000000003	1	1	5	5	B	1	0	1	0
E12S200_12ecu_200signals_001	foundation	923001425	28	1	1	0	29	178	1000	1000	0	0.039600000000000003	1	1	1000	1000	A	0	0	10	5
E12S200_12ecu_200signals_001	foundation	955893977	126	1	2	0	131	11	5	5	0	0.039600000000000003	1	2	5	5	C	2	0	1	2
E12S200_12ecu_200signals_001	foundation	955893977	126	2	2	1	192	14	5	5	0.49640000000187001	0.039600000000000003	1	1	5	5	C	2	0	1	2
E12S200_12ecu_200signals_001	foundation	975798572	198	1	2	0	48	24	10	10	0	0.039600000000000003	1	1	10	10	D	3	0	4	3
E12S200_12ecu_200signals_001	foundation	975798572	198	2	2	1	49	25	10	10	1.0112000000019634	0.039600000000000003	1	1	10	10	D	3	0	4	3
E12S200_12ecu_200signals_001	foundation	983352480	88	1	1	0	179	69	10	10	0	0.039600000000000003	1	5	20	20	A	0	0	4	9
E12S200_12ecu_200signals_001	foundation	1059652626	82	1	1	0	164	163	100	100	0	0.039600000000000003	1	1	100	100	A	0	0	7	0
E12S200_12ecu_200signals_001	foundation	1079467628	157	1	2	0	19	133	100	100	0	0.039600000000000003	1	1	100	100	B	1	0	2	9
E12S200_12ecu_200signals_001	foundation	1079467628	157	2	2	1	168	164	100	100	7.7520000000014306	0.039600000000000003	1	2	100	100	B	1	0	2	9
E12S200_12ecu_200signals_001	foundation	1109013730	52	1	1	0	97	150	100	100	0	0.039600000000000003	1	1	100	100	A	0	0	0	11
E12S200_12ecu_200signals_001	foundation	1199359876	55	1	1	0	154	60	10	10	3.034800000002349	0.039600000000000003	1	3	20	20	A	0	0	1	4
E12S200_12ecu_200signals_001	foundation	1211192704	106	1	1	0	140	54	10	10	0	0.039600000000000003	1	2	10	10	A	0	0	11	5
E12S200_12ecu_200signals_001	foundation	1229188777	130	1	1	0	179	69	10	10	0	0.039600000000000003	1	5	10	10	A	0	0	4	9
E12S200_12ecu_200signals_001	foundation	1232139013	104	1	1	0	18	21	10	10	0.85280000000193468	0.039600000000000003	1	2	20	20	A	0	0	6	3
E12S200_12ecu_200signals_001	foundation	1236213937	134	1	1	0	41	7	2	2	0.11640000000096506	0.039600000000000003	1	3	2	2	A	0	0	2	0
E12S200_12ecu_200signals_001	foundation	1250269616	76	1	1	0	180	70	10	10	0	0.039600000000000003	1	3	10	10	A	0	0	6	1
E12S200_12ecu_200signals_001	foundation	1251022354	188	1	2	0	89	36	10	10	0	0.039600000000000003	1	1	10	10	B	1	0	11	0
E12S200_12ecu_200signals_001	foundation	1251022354	188	2	2	1	111	46	10	10	1.767600000002119	0.039600000000000003	1	1	10	10	B	1	0	11	0
E12S200_12ecu_200signals_001	foundation	1276586547	135	1	1	0	201	6	1	1	0	0.039600000000000003	1	2	1	1	A	0	0	1	2
E12S200_12ecu_200signals_001	foundation	1337679805	175	1	1	0	173	129	50	50	0	0.061600000000000002	12	2	100	100	A	0	0	7	10
E12S200_12ecu_200signals_001	foundation	1339760679	29	1	1	0	4	81	20	20	0	0.039600000000000003	1	1	20	20	A	0	0	3	7
E12S200_12ecu_200signals_001	foundation	1345695415	100	1	2	0	75	145	100	100	0	0.039600000000000003	1	1	100	100	C	2	0	8	4
E12S200_12ecu_200signals_001	foundation	1345695415	100	2	2	1	90	149	100	100	8.5836000000015815	0.039600000000000003	1	1	100	100	C	2	0	8	4
E12S200_12ecu_200signals_001	foundation	1356308801	138	1	1	0	113	154	100	100	0	0.039600000000000003	1	1	100	100	A	0	0	1	2
E12S200_12ecu_200signals_001	foundation	1390434029	68	1	2	0	39	138	100	100	0	0.039600000000000003	1	1	100	100	C	2	0	8	5
E12S200_12ecu_200signals_001	foundation	1390434029	68	2	2	1	204	173	100	100	7.9500000000014666	0.039600000000000003	1	1	100	100	C	2	0	8	5
E12S200_12ecu_200signals_001	foundation	1396155948	8	1	1	0	120	104	20	20	0	0.039600000000000003	1	1	20	20	A	0	0	7	2
E12S200_12ecu_200signals_001	foundation	1417466134	96	1	1	0	151	187	1000	1000	0	0.039600000000000003	1	1	1000	1000	A	0	0	9	10
E12S200_12ecu_200signals_001	foundation	1470024487	5	1	2	0	64	144	100	100	0	0.039600000000000003	1	1	100	100	C	2	0	8	0
E12S200_12ecu_200signals_001	foundation	1470024487	5	2	2	1	100	151	100	100	8.5440000000015743	0.039600000000000003	1	1	100	100	C	2	0	8	0
