MessageCode	÷‹∆⁄	∞≤»´µ»º∂	“Ï‘¥±∏∑›	π ’œ∏≈¬ …œœﬁ	π ’œ∏≈¬ (‘≠±æ)	π ’œ∏≈¬ (÷ÿ¥Ú∞¸)
10767877144104529549	100	A	∑Ò	1.0000000000e-06	2.0613510898e-12	1.3437140289e-11
14021633932417914422	100	A	∑Ò	1.0000000000e-06	2.4460433679e-12	1.9249490890e-11
10999957626352819152	100	A	∑Ò	1.0000000000e-06	2.8426150323e-12	1.3562928558e-11
6898403692347406278	100	A	∑Ò	1.0000000000e-06	2.3988588893e-12	1.4437784301e-11
2212986327527916315	100	A	∑Ò	1.0000000000e-06	2.2837287617e-12	1.9357182524e-11
13746844707630526421	100	A	∑Ò	1.0000000000e-06	2.2837287617e-12	1.9357182524e-11
2813407256274701330	100	A	∑Ò	1.0000000000e-06	2.1872503808e-12	3.2380098602e-11
144096305850644553	100	A	∑Ò	1.0000000000e-06	2.2891688545e-12	2.0199952822e-11
5683411700028828126	100	A	∑Ò	1.0000000000e-06	2.2891688545e-12	2.0199952822e-11
U Œ¥ÃÌº”∏±±æ:	0.3883880000
U ÃÌº”∏±±æ:	0.6259880000
